Date,Number/Day,Percent with Soap wrt Number,Total Time (s),Percent with Soap wrt Time,Average time per handwash,,,,,,
2016-02-20,331,0.7873983,2648,0.7975364,8,,,,,,
2016-02-21,666,0.2581223,9324,0.5613383,14,,,,,,
2016-02-22,7394,0.682456,110910,0.7730034,15,,,,,,
2016-02-23,5660,0.5520009,62260,0.124327,11,,,,,,
2016-02-24,5013,0.7191554,45117,0.6775936,9,,,,,,
2016-02-25,7863,0.3346292,110082,0.6893555,14,,,,,,
2016-02-26,3570,0.5469219,28560,0.0971973,8,,,,,,
2016-02-27,280,0.2651298,2240,0.3738479,8,,,,,,
2016-02-28,529,0.5536037,7935,0.690242,15,,,,,,
2016-02-29,5790,0.7743276,57900,0.3946826,10,,,,,,
2016-03-01,4439,0.5360618,44390,0.6307767,10,,,,,,
2016-03-02,4035,0.8090041,48420,0.6404832,12,,,,,,
2016-03-03,5875,0.6482358,41125,0.5468865,7,,,,,,
2016-03-04,4966,0.2403395,59592,0.3128691,12,,,,,,
2016-03-05,265,0.641704,2650,0.6611576,10,,,,,,
2016-03-06,542,0.3884953,3794,0.6047948,7,,,,,,
2016-03-07,4874,0.2511675,63362,0.6478361,13,,,,,,
2016-03-08,6945,0.6399898,104175,0.8250472,15,,,,,,
2016-03-09,6483,0.5168544,45381,0.6843538,7,,,,,,
2016-03-10,4414,0.75283,48554,0.4748533,11,,,,,,
2016-03-11,4323,0.8248713,30261,0.1546624,7,,,,,,
2016-03-12,293,0.3754674,4102,0.6664611,14,,,,,,
2016-03-13,657,0.2140226,4599,0.437203,7,,,,,,
2016-03-14,4122,0.3569862,49464,0.4878089,12,,,,,,
2016-03-15,5220,0.8724301,62640,0.5940447,12,,,,,,
2016-03-16,7212,0.4820741,50484,0.8042995,7,,,,,,
2016-03-17,5195,0.3409424,46755,0.2718952,9,,,,,,
2016-03-18,5521,0.2068496,49689,0.7758498,9,,,,,,
2016-03-19,349,0.8048193,3490,0.1194645,10,,,,,,
2016-03-20,736,0.4998191,8832,0.6051307,12,,,,,,
2016-03-21,6176,0.2337298,92640,0.4383837,15,,,,,,
2016-03-22,3919,0.3586119,50947,0.1157679,13,,,,,,
2016-03-23,6420,0.2774634,77040,0.3885899,12,,,,,,
2016-03-24,7262,0.5171343,50834,0.388035,7,,,,,,
2016-03-25,6210,0.2621783,49680,0.829853,8,,,,,,
2016-03-26,326,0.8100424,3912,0.5411976,12,,,,,,
2016-03-27,528,0.3363944,5808,0.5211117,11,,,,,,
2016-03-28,3889,0.385418,42779,0.5906171,11,,,,,,
2016-03-29,4649,0.2852684,32543,0.8996182,7,,,,,,
2016-03-30,5217,0.2518821,62604,0.5672871,12,,,,,,
2016-03-31,6412,0.2484406,57708,0.2061121,9,,,,,,
2016-04-01,5026,0.4375333,55286,0.1487625,11,,,,,,
2016-04-02,340,0.3018614,4760,0.3302994,14,,,,,,
2016-04-03,426,0.7748363,2982,0.7736209,7,,,,,,
2016-04-04,7911,0.3691767,94932,0.5186981,12,,,,,,
2016-04-05,5073,0.8465838,60876,0.3609435,12,,,,,,
2016-04-06,3933,0.3403939,27531,0.38004,7,,,,,,
2016-04-07,5591,0.263589,39137,0.5493197,7,,,,,,
2016-04-08,7024,0.7665228,91312,0.609367,13,,,,,,
2016-04-09,297,0.587458,2970,0.4089616,10,,,,,,
2016-04-10,661,0.8666858,5288,0.6061988,8,,,,,,
2016-04-11,6580,0.4282897,46060,0.1638234,7,,,,,,
2016-04-12,7084,0.4680054,92092,0.4184465,13,,,,,,
2016-04-13,6671,0.7848787,73381,0.5591692,11,,,,,,
2016-04-14,4177,0.2860093,37593,0.3714014,9,,,,,,
2016-04-15,3835,0.5075448,30680,0.6796291,8,,,,,,
2016-04-16,254,0.3082686,1778,0.6126604,7,,,,,,
2016-04-17,519,0.2962504,6228,0.4356574,12,,,,,,
2016-04-18,7077,0.4113709,49539,0.1030181,7,,,,,,
2016-04-19,7864,0.5485919,55048,0.3661518,7,,,,,,
2016-04-20,5795,0.288415,75335,0.7077656,13,,,,,,
2016-04-21,6369,0.5525396,50952,0.4008556,8,,,,,,
2016-04-22,3627,0.7266476,36270,0.2453152,10,,,,,,
2016-04-23,454,0.4729585,5448,0.162511,12,,,,,,
2016-04-24,574,0.3855618,8610,0.0789149,15,,,,,,
2016-04-25,6126,0.7069391,42882,0.3874862,7,,,,,,
2016-04-26,7483,0.3382106,59864,0.5331344,8,,,,,,
2016-04-27,6468,0.8460821,45276,0.416502,7,,,,,,
2016-04-28,4908,0.357606,49080,0.1307358,10,,,,,,
2016-04-29,7505,0.8301127,67545,0.6854937,9,,,,,,
2016-04-30,568,0.271297,7384,0.1342613,13,,,,,,
2016-05-01,637,0.2549152,7644,0.2087101,12,,,,,,
2016-05-02,7604,0.6486358,76040,0.2084822,10,,,,,,
2016-05-03,7019,0.6712622,98266,0.5621621,14,,,,,,
2016-05-04,4358,0.5596804,52296,0.8692836,12,,,,,,
2016-05-05,5835,0.2352027,81690,0.4690254,14,,,,,,
2016-05-06,6776,0.2433136,60984,0.7992042,9,,,,,,
2016-05-07,310,0.583548,2480,0.7125948,8,,,,,,
2016-05-08,327,0.4597927,2289,0.4466511,7,,,,,,
2016-05-09,5904,0.7302144,64944,0.2909314,11,,,,,,
2016-05-10,4807,0.4356671,48070,0.5116649,10,,,,,,
2016-05-11,4696,0.6598796,37568,0.8733777,8,,,,,,
2016-05-12,6783,0.498074,47481,0.0872001,7,,,,,,
2016-05-13,5123,0.7064199,35861,0.7900937,7,,,,,,
2016-05-14,500,0.2707782,3500,0.7637918,7,,,,,,
2016-05-15,585,0.8555496,7020,0.4063904,12,,,,,,
2016-05-16,7499,0.5970665,112485,0.1886934,15,,,,,,
2016-05-17,3657,0.2817547,54855,0.7139857,15,,,,,,
2016-05-18,5415,0.3737499,54150,0.202625,10,,,,,,
2016-05-19,6584,0.5533644,52672,0.7596881,8,,,,,,
2016-05-20,4813,0.4546489,33691,0.6547051,7,,,,,,
2016-05-21,348,0.6903606,4176,0.8068927,12,,,,,,
2016-05-22,376,0.8497893,3760,0.4362594,10,,,,,,
2016-05-23,4942,0.4790741,49420,0.7095139,10,,,,,,
2016-05-24,3646,0.7403443,43752,0.6694051,12,,,,,,
2016-05-25,5018,0.4921039,55198,0.5677846,11,,,,,,
2016-05-26,4262,0.7502356,29834,0.1968483,7,,,,,,
2016-05-27,3750,0.8820254,52500,0.8220218,14,,,,,,
2016-05-28,540,0.2469736,7560,0.3538982,14,,,,,,
2016-05-29,652,0.5098768,7172,0.1774943,11,,,,,,
2016-05-30,6756,0.4034744,74316,0.2067354,11,,,,,,
2016-05-31,7044,0.5551398,49308,0.2232947,7,,,,,,
2016-06-01,6061,0.7586519,84854,0.142077,14,,,,,,
2016-06-02,6538,0.5917945,84994,0.5183641,13,,,,,,
2016-06-03,4632,0.2221375,69480,0.3286006,15,,,,,,
2016-06-04,355,0.7092787,2485,0.2577396,7,,,,,,
2016-06-05,589,0.4946513,8835,0.7348505,15,,,,,,
2016-06-06,5292,0.7815068,42336,0.2917696,8,,,,,,
2016-06-07,3643,0.3187215,25501,0.1962147,7,,,,,,
2016-06-08,7659,0.4332994,107226,0.6777788,14,,,,,,
2016-06-09,3830,0.8319408,34470,0.677498,9,,,,,,
2016-06-10,3538,0.8496737,38918,0.8435109,11,,,,,,
2016-06-11,491,0.8903748,3437,0.813221,7,,,,,,
2016-06-12,413,0.8090952,2891,0.8966499,7,,,,,,
2016-06-13,5230,0.7218151,67990,0.1957254,13,,,,,,
2016-06-14,4712,0.6054621,70680,0.5610693,15,,,,,,
2016-06-15,3502,0.745619,49028,0.5683129,14,,,,,,
2016-06-16,4740,0.4472631,71100,0.8064901,15,,,,,,
2016-06-17,4972,0.6191549,44748,0.7066944,9,,,,,,
2016-06-18,326,0.2818054,3586,0.8733928,11,,,,,,
2016-06-19,353,0.6252465,2471,0.8038876,7,,,,,,
2016-06-20,4612,0.6136495,36896,0.332981,8,,,,,,
2016-06-21,6215,0.3903602,87010,0.2602355,14,,,,,,
2016-06-22,4818,0.3170688,52998,0.5569123,11,,,,,,
2016-06-23,4484,0.770034,49324,0.2969299,11,,,,,,
2016-06-24,4485,0.5880245,44850,0.1339952,10,,,,,,
2016-06-25,567,0.8057925,5103,0.6202526,9,,,,,,
2016-06-26,517,0.414559,7755,0.1354953,15,,,,,,
2016-06-27,5833,0.5623279,64163,0.4827753,11,,,,,,
2016-06-28,6732,0.2258842,47124,0.5410216,7,,,,,,
2016-06-29,7652,0.7839119,53564,0.0736459,7,,,,,,
2016-06-30,6586,0.2608457,52688,0.7752631,8,,,,,,
2016-07-01,6167,0.6347632,61670,0.6406085,10,,,,,,
2016-07-02,394,0.5077044,4334,0.4529106,11,,,,,,
2016-07-03,363,0.3732097,3267,0.6902341,9,,,,,,
2016-07-04,7422,0.728285,59376,0.7608298,8,,,,,,
2016-07-05,4538,0.4411391,58994,0.3213191,13,,,,,,
2016-07-06,6867,0.763372,89271,0.6111528,13,,,,,,
2016-07-07,6385,0.3965122,51080,0.070947,8,,,,,,
2016-07-08,5669,0.7802033,73697,0.5804951,13,,,,,,
2016-07-09,506,0.211956,5566,0.2174248,11,,,,,,
2016-07-10,521,0.4612569,7294,0.4033985,14,,,,,,
2016-07-11,4292,0.3200272,34336,0.8462476,8,,,,,,
2016-07-12,3604,0.2621256,28832,0.5858088,8,,,,,,
2016-07-13,4227,0.8315268,46497,0.6609958,11,,,,,,
2016-07-14,5678,0.7984208,73814,0.2741019,13,,,,,,
2016-07-15,6652,0.8671566,59868,0.2529155,9,,,,,,
2016-07-16,523,0.3006667,6799,0.1677334,13,,,,,,
2016-07-17,745,0.6346925,11175,0.5744431,15,,,,,,
2016-07-18,5454,0.4717634,65448,0.7792807,12,,,,,,
2016-07-19,7718,0.7794099,92616,0.1953705,12,,,,,,
2016-07-20,4785,0.5983006,57420,0.0704102,12,,,,,,
2016-07-21,4907,0.7130164,49070,0.6974394,10,,,,,,
2016-07-22,4538,0.7205663,54456,0.2382736,12,,,,,,
2016-07-23,341,0.4331022,3751,0.783523,11,,,,,,
2016-07-24,775,0.417132,10075,0.5060492,13,,,,,,
2016-07-25,4893,0.6202373,58716,0.7598791,12,,,,,,
2016-07-26,6112,0.7921374,55008,0.3635616,9,,,,,,
2016-07-27,5459,0.5494014,54590,0.7096756,10,,,,,,
2016-07-28,5491,0.733549,49419,0.7736542,9,,,,,,
2016-07-29,5613,0.3689112,78582,0.6182814,14,,,,,,
2016-07-30,511,0.2672609,7154,0.3786316,14,,,,,,
2016-07-31,671,0.4892648,4697,0.4748074,7,,,,,,
2016-08-01,5128,0.8739184,41024,0.1461177,8,,,,,,
2016-08-02,5913,0.310237,76869,0.7711562,13,,,,,,
2016-08-03,6200,0.8470507,62000,0.6165785,10,,,,,,
2016-08-04,6611,0.3954034,52888,0.3148847,8,,,,,,
2016-08-05,6105,0.6141799,73260,0.8795896,12,,,,,,
2016-08-06,530,0.5108388,5300,0.4531172,10,,,,,,
2016-08-07,558,0.4738208,7254,0.2252587,13,,,,,,
2016-08-08,3976,0.7489401,51688,0.4020927,13,,,,,,
2016-08-09,4851,0.6920443,67914,0.2455872,14,,,,,,
2016-08-10,4737,0.5684297,56844,0.0617115,12,,,,,,
2016-08-11,7583,0.6601904,75830,0.3165531,10,,,,,,
2016-08-12,6683,0.4820379,60147,0.7472711,9,,,,,,
2016-08-13,360,0.3736573,2520,0.8594181,7,,,,,,
2016-08-14,352,0.5636796,4928,0.708085,14,,,,,,
2016-08-15,6579,0.2388182,98685,0.5264432,15,,,,,,
2016-08-16,3974,0.6559688,39740,0.5355609,10,,,,,,
2016-08-17,4277,0.308742,59878,0.445789,14,,,,,,
2016-08-18,4058,0.3358702,28406,0.1179758,7,,,,,,
2016-08-19,7987,0.8751605,95844,0.5013783,12,,,,,,
2016-08-20,441,0.5636674,5733,0.8069309,13,,,,,,
2016-08-21,615,0.2583689,9225,0.4152599,15,,,,,,
2016-08-22,6272,0.5876685,94080,0.5622362,15,,,,,,
2016-08-23,5130,0.5328098,56430,0.3159651,11,,,,,,
2016-08-24,3676,0.4775774,55140,0.3242509,15,,,,,,
2016-08-25,7800,0.4832083,117000,0.0922433,15,,,,,,
2016-08-26,7220,0.3136197,72200,0.6241484,10,,,,,,
2016-08-27,588,0.2599812,5880,0.6777167,10,,,,,,
2016-08-28,317,0.6972441,3487,0.1462489,11,,,,,,
2016-08-29,6163,0.2708772,49304,0.7519067,8,,,,,,
2016-08-30,7024,0.366363,63216,0.232828,9,,,,,,
2016-08-31,3567,0.2664301,49938,0.4211062,14,,,,,,
2016-09-01,4038,0.7798593,36342,0.8482197,9,,,,,,
2016-09-02,4800,0.3815851,48000,0.1167369,10,,,,,,
2016-09-03,480,0.3390634,6240,0.8416589,13,,,,,,
2016-09-04,613,0.5219715,9195,0.5987469,15,,,,,,
2016-09-05,6770,0.424147,47390,0.3389202,7,,,,,,
2016-09-06,6724,0.4320882,47068,0.7160846,7,,,,,,
2016-09-07,6950,0.8735064,76450,0.3420103,11,,,,,,
2016-09-08,7220,0.7375829,108300,0.2264268,15,,,,,,
2016-09-09,5672,0.266827,68064,0.4787142,12,,,,,,
2016-09-10,371,0.7927333,4452,0.4556183,12,,,,,,
2016-09-11,793,0.8457638,6344,0.7492908,8,,,,,,
2016-09-12,7992,0.5501077,55944,0.8944147,7,,,,,,
2016-09-13,7876,0.8354325,86636,0.1268237,11,,,,,,
2016-09-14,6307,0.6461678,63070,0.7118481,10,,,,,,
2016-09-15,7095,0.4273103,92235,0.5597918,13,,,,,,
2016-09-16,6998,0.6024758,48986,0.5880064,7,,,,,,
2016-09-17,279,0.4406714,3348,0.4836973,12,,,,,,
2016-09-18,514,0.3595372,5140,0.2308915,10,,,,,,
2016-09-19,4555,0.2666956,50105,0.5427349,11,,,,,,
2016-09-20,7989,0.7345946,71901,0.7774812,9,,,,,,
2016-09-21,6690,0.7629441,80280,0.6432811,12,,,,,,
2016-09-22,7156,0.6053146,100184,0.6883794,14,,,,,,
2016-09-23,7310,0.6375805,51170,0.3461994,7,,,,,,
2016-09-24,473,0.5446496,7095,0.1910065,15,,,,,,
2016-09-25,501,0.486799,5010,0.5299587,10,,,,,,
2016-09-26,6996,0.3995967,76956,0.1797136,11,,,,,,
2016-09-27,6060,0.4705,48480,0.6434573,8,,,,,,
2016-09-28,6605,0.7898527,79260,0.4841893,12,,,,,,
2016-09-29,5111,0.7276572,61332,0.1640358,12,,,,,,
2016-09-30,6227,0.7085996,43589,0.5826551,7,,,,,,
2016-10-01,484,0.5874443,7260,0.431844,15,,,,,,
2016-10-02,449,0.2478273,6735,0.7665598,15,,,,,,
2016-10-03,7030,0.7353206,98420,0.4608907,14,,,,,,
2016-10-04,6025,0.827415,42175,0.3748236,7,,,,,,
2016-10-05,6326,0.8228549,88564,0.4277665,14,,,,,,
2016-10-06,5757,0.5006364,57570,0.3416651,10,,,,,,
2016-10-07,6756,0.702127,101340,0.3851737,15,,,,,,
2016-10-08,521,0.7864626,3647,0.8972146,7,,,,,,
2016-10-09,316,0.720986,2844,0.0704002,9,,,,,,
2016-10-10,5231,0.5580923,57541,0.1414055,11,,,,,,
2016-10-11,3971,0.569126,35739,0.4569975,9,,,,,,
2016-10-12,6007,0.6421856,78091,0.4235894,13,,,,,,
2016-10-13,5398,0.2443947,75572,0.5582295,14,,,,,,
2016-10-14,7785,0.356495,116775,0.5333886,15,,,,,,
2016-10-15,484,0.2177477,4356,0.5341511,9,,,,,,
2016-10-16,551,0.8657146,7163,0.6040548,13,,,,,,
2016-10-17,6269,0.4799564,43883,0.2013177,7,,,,,,
2016-10-18,5494,0.6415392,82410,0.1400664,15,,,,,,
2016-10-19,4981,0.7130708,44829,0.0820053,9,,,,,,
2016-10-20,6698,0.7578787,80376,0.2175075,12,,,,,,
2016-10-21,6218,0.612871,62180,0.7971595,10,,,,,,
2016-10-22,276,0.3591523,3312,0.6446039,12,,,,,,
2016-10-23,465,0.8249256,6045,0.6682728,13,,,,,,
2016-10-24,4529,0.3002269,45290,0.396946,10,,,,,,
2016-10-25,3736,0.3259098,48568,0.4020276,13,,,,,,
2016-10-26,6551,0.4585078,85163,0.1306638,13,,,,,,
2016-10-27,6585,0.602082,72435,0.4524318,11,,,,,,
2016-10-28,5463,0.5401923,71019,0.8008027,13,,,,,,
2016-10-29,440,0.6181325,5280,0.1082038,12,,,,,,
2016-10-30,783,0.5794784,10962,0.513684,14,,,,,,
2016-10-31,5054,0.8325926,40432,0.1116037,8,,,,,,
2016-11-01,5919,0.7153751,53271,0.0938518,9,,,,,,
2016-11-02,5013,0.2598883,40104,0.1749607,8,,,,,,
2016-11-03,3898,0.59534,27286,0.1444722,7,,,,,,
2016-11-04,3807,0.4145907,57105,0.091265,15,,,,,,
2016-11-05,314,0.564843,2198,0.1431882,7,,,,,,
2016-11-06,515,0.5391382,5665,0.6308986,11,,,,,,
2016-11-07,7447,0.8760532,89364,0.6905584,12,,,,,,
2016-11-08,7857,0.3050642,109998,0.1403327,14,,,,,,
2016-11-09,3623,0.5709745,54345,0.7148929,15,,,,,,
2016-11-10,6895,0.5486671,55160,0.469161,8,,,,,,
2016-11-11,4383,0.6935088,48213,0.7710169,11,,,,,,
2016-11-12,509,0.4327597,7126,0.3290136,14,,,,,,
2016-11-13,333,0.6298624,3330,0.898922,10,,,,,,
2016-11-14,6035,0.6223534,66385,0.6504824,11,,,,,,
2016-11-15,6504,0.8129182,65040,0.7501579,10,,,,,,
2016-11-16,3965,0.4573609,27755,0.4160494,7,,,,,,
2016-11-17,5140,0.3308561,56540,0.7050919,11,,,,,,
2016-11-18,6161,0.7573979,61610,0.4182826,10,,,,,,
2016-11-19,400,0.3145738,3600,0.2703796,9,,,,,,
2016-11-20,380,0.2251603,5700,0.7895153,15,,,,,,
2016-11-21,5176,0.3342586,62112,0.3275406,12,,,,,,
2016-11-22,3634,0.4987083,39974,0.4745095,11,,,,,,
2016-11-23,7165,0.5199125,50155,0.5438231,7,,,,,,
2016-11-24,5282,0.8115954,52820,0.6938405,10,,,,,,
2016-11-25,4132,0.5626116,53716,0.7624414,13,,,,,,
2016-11-26,269,0.6853975,3766,0.1299718,14,,,,,,
2016-11-27,516,0.6251507,4128,0.5576181,8,,,,,,
2016-11-28,3666,0.5498792,32994,0.2214086,9,,,,,,
2016-11-29,4929,0.5184819,34503,0.2402587,7,,,,,,
2016-11-30,5771,0.8672652,86565,0.1930178,15,,,,,,
2016-12-01,6947,0.3295791,62523,0.4016084,9,,,,,,
2016-12-02,4341,0.5550969,52092,0.658252,12,,,,,,
2016-12-03,418,0.4731271,5016,0.1192108,12,,,,,,
2016-12-04,321,0.7620813,3531,0.6703911,11,,,,,,
2016-12-05,6228,0.6165235,93420,0.8360824,15,,,,,,
2016-12-06,5534,0.2083023,83010,0.6363269,15,,,,,,
2016-12-07,7671,0.8702084,84381,0.1732935,11,,,,,,
2016-12-08,4177,0.2200354,62655,0.5351126,15,,,,,,
2016-12-09,5479,0.5504898,82185,0.5292381,15,,,,,,
2016-12-10,308,0.2750083,2156,0.587202,7,,,,,,
2016-12-11,764,0.6194003,7640,0.2342935,10,,,,,,
2016-12-12,3704,0.8978801,40744,0.5538229,11,,,,,,
2016-12-13,7970,0.7130897,111580,0.7053883,14,,,,,,
2016-12-14,6084,0.6569413,54756,0.0697319,9,,,,,,
2016-12-15,5095,0.3607509,35665,0.5328445,7,,,,,,
2016-12-16,5419,0.749181,54190,0.6171944,10,,,,,,
2016-12-17,414,0.3024627,2898,0.3142363,7,,,,,,
2016-12-18,640,0.7696548,8320,0.4470507,13,,,,,,
2016-12-19,5427,0.7226244,43416,0.301225,8,,,,,,
2016-12-20,6413,0.740344,89782,0.2086789,14,,,,,,
2016-12-21,7778,0.3601295,85558,0.2451003,11,,,,,,
2016-12-22,3872,0.7700591,58080,0.6759936,15,,,,,,
2016-12-23,7791,0.8864251,85701,0.3279649,11,,,,,,
2016-12-24,267,0.6658014,1869,0.4192758,7,,,,,,
2016-12-25,519,0.8324183,6228,0.5445174,12,,,,,,
2016-12-26,7611,0.2302668,91332,0.7245471,12,,,,,,
2016-12-27,4244,0.6406181,55172,0.5508164,13,,,,,,
2016-12-28,7102,0.8891472,99428,0.7791697,14,,,,,,
2016-12-29,6035,0.3462679,90525,0.7332482,15,,,,,,
2016-12-30,4711,0.7313591,42399,0.2077794,9,,,,,,
2016-12-31,391,0.3182286,2737,0.5345481,7,,,,,,
2017-01-01,344,0.792887,2752,0.2870011,8,,,,,,
2017-01-02,5422,0.6194154,43376,0.1502312,8,,,,,,
2017-01-03,6672,0.6550826,80064,0.8970304,12,,,,,,
2017-01-04,6622,0.5610576,46354,0.178079,7,,,,,,
2017-01-05,6457,0.8407674,83941,0.1492793,13,,,,,,
2017-01-06,5781,0.3496591,75153,0.5674798,13,,,,,,
2017-01-07,365,0.6181237,5110,0.496572,14,,,,,,
2017-01-08,605,0.6435357,4235,0.6166032,7,,,,,,
2017-01-09,3506,0.7130144,38566,0.2357728,11,,,,,,
2017-01-10,4277,0.5681173,59878,0.7083492,14,,,,,,
2017-01-11,3803,0.455881,34227,0.4811958,9,,,,,,
2017-01-12,7551,0.5598045,60408,0.0621068,8,,,,,,
2017-01-13,5705,0.4251873,51345,0.0617756,9,,,,,,
2017-01-14,366,0.4001141,4392,0.2569962,12,,,,,,
2017-01-15,596,0.8499844,7748,0.836278,13,,,,,,
2017-01-16,3659,0.8695816,25613,0.2741175,7,,,,,,
2017-01-17,4672,0.4406688,46720,0.113012,10,,,,,,
2017-01-18,7794,0.3607731,70146,0.6421548,9,,,,,,
2017-01-19,7038,0.5894002,91494,0.5885227,13,,,,,,
2017-01-20,5591,0.3538984,50319,0.488723,9,,,,,,
2017-01-21,469,0.5873544,4221,0.4119615,9,,,,,,
2017-01-22,776,0.8913408,8536,0.7877604,11,,,,,,
2017-01-23,5485,0.2938241,82275,0.8560587,15,,,,,,
2017-01-24,5891,0.6164071,53019,0.8410523,9,,,,,,
2017-01-25,4935,0.2467996,74025,0.4720445,15,,,,,,
2017-01-26,5770,0.4419338,40390,0.5488951,7,,,,,,
2017-01-27,4258,0.7696703,38322,0.8298811,9,,,,,,
2017-01-28,325,0.8529389,4550,0.3297936,14,,,,,,
2017-01-29,761,0.3824055,11415,0.3712229,15,,,,,,
2017-01-30,4188,0.7921667,54444,0.0777026,13,,,,,,
2017-01-31,7409,0.2224878,96317,0.5485203,13,,,,,,
2017-02-01,3869,0.5906421,54166,0.4931359,14,,,,,,
2017-02-02,3573,0.7820785,39303,0.2218968,11,,,,,,
2017-02-03,4342,0.6485437,60788,0.7819324,14,,,,,,
2017-02-04,344,0.6731171,3784,0.7066653,11,,,,,,
2017-02-05,570,0.8657133,5700,0.5923991,10,,,,,,
2017-02-06,6130,0.6072183,49040,0.1312673,8,,,,,,
2017-02-07,7830,0.2922296,86130,0.1530555,11,,,,,,
2017-02-08,6063,0.5729735,60630,0.2755861,10,,,,,,
2017-02-09,4663,0.4083271,32641,0.2091288,7,,,,,,
2017-02-10,4990,0.3752864,69860,0.4257113,14,,,,,,
2017-02-11,582,0.2491733,6984,0.1406857,12,,,,,,
2017-02-12,795,0.6428928,5565,0.5685339,7,,,,,,
2017-02-13,4116,0.2162549,53508,0.4863167,13,,,,,,
2017-02-14,5978,0.5795036,71736,0.6660886,12,,,,,,
2017-02-15,4233,0.4775901,55029,0.493226,13,,,,,,
2017-02-16,3920,0.2574592,50960,0.7160063,13,,,,,,
2017-02-17,5574,0.6738996,78036,0.3222619,14,,,,,,
2017-02-18,365,0.4528181,3285,0.2899629,9,,,,,,
2017-02-19,647,0.6999841,6470,0.0683459,10,,,,,,
2017-02-20,3775,0.8804313,56625,0.7958328,15,,,,,,
2017-02-21,6523,0.3325035,78276,0.1437031,12,,,,,,
2017-02-22,6476,0.327463,64760,0.7301288,10,,,,,,
2017-02-23,6515,0.2833952,91210,0.5503533,14,,,,,,
2017-02-24,7905,0.4804533,63240,0.8316765,8,,,,,,
2017-02-25,304,0.6197301,2736,0.6106819,9,,,,,,
2017-02-26,788,0.8478182,8668,0.8482777,11,,,,,,
2017-02-27,3809,0.8919716,34281,0.4849017,9,,,,,,
2017-02-28,6868,0.5137119,54944,0.7823603,8,,,,,,
2017-03-01,4197,0.3565732,29379,0.2094271,7,,,,,,
2017-03-02,6404,0.4824147,57636,0.4319666,9,,,,,,
2017-03-03,4561,0.4225767,68415,0.5174075,15,,,,,,
